Park_Name,Park_Type,Zip_Code,Aqua_Feat__Pool,Aqua_Feat__Spray,Backstop__Practice,Ballfield,Basketball,Blueway,Complex__Ballfield,Complex__Tennis,Concessions,Disk_Golf,Driving_Range,Educational_Experience,Event_Space,Fitness_Course,Garden__Community,Garden__Display,Golf,Hockey__Ice,Loop_Walk,MP_Field__Large,MP_Field__Multiple,MP_Field__Small,Multiuse_Court,Natural_Area,Open_Turf,Open_Water,Other___Active,Other_Passive,Passive_Node,Picnic_Grounds,Playground__Destination,Playground__Local,Public_Art,Shelter,Shelter__Group,Skate_Park,Sledding_Hill,Structure,Tennis,Trail__Primitive,Volleyball,Water_Access__Developed,Water_Access__General,Water_Feature,Address,Lat,Lon,Cost
Viewing Park,Neighborhood Park,46617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,2,,,"900 Northside Blvd, South Bend, Indiana 46617",41.66749187,-86.23634465,13750
Potawatomi Zoo,Zoo,46615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"500 South Greenlawn Avenue, South Bend, Indiana 46615",41.67127161,-86.2207712,3000
Vassar Park,Neighborhood Park,46616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,"1100 Sherman Avenue, South Bend, Indiana 46616",41.68948375,-86.26493243,3500
Kennedy Park,Community Park,46628,1,,,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,"2700 Westmoor Street, South Bend, Indiana 46628",41.68467465,-86.28838583,97750
East Race Trail,Special,46617,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,1,,"935 Niles, South Bend, Indiana 46617",41.68411375,-86.23649852,24600
Fredrickson Park,Neighborhood Park,46617,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,"1330 South Bend Avenue, South Bend, Indiana 46617",41.69058632,-86.23014734,10833.33
Jon Hunt Memorial Plaza,Memorial,46601,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,1,"214 Michigan Street, South Bend, Indiana 46601",41.67831068,-86.25045095,26500
Potawatomi Park,Community Park,46615,1,,,1,,,,,,,,1,1,,1,2,,,3,1,,,,,1,,,,,12,2,,,,3,,,2,,,,,,,"2000 Wall Street, South Bend, Indiana 46615",41.66753651,-86.21790959,350601.13
O'Brien Park,Neighborhood Park,46614,,1,,,,,,,,,,,,,,,,,,2,,,,1,1,1,,,,,,1,,2,,1,,,,,,,,,"321 Walter Street, South Bend, Indiana 46614",41.63101198,-86.24687887,180600
Fremont Park,Block Park,46628,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,1,,,,,,,,,,"1800 North Fremont Street, South Bend, Indiana 46628",41.69936384,-86.28497231,41250
Shetterley Park,Block Park,46616,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,"1044 Riverside Drive, South Bend, Indiana 46616",41.68909716,-86.2596479,11600
Kelly Park,Block Park,46617,,,,,0.5,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,"718 Howard Street, South Bend, Indiana 46617",41.68843303,-86.24057544,22750
Martin Luther King Jr.,Neighborhood Park,46628,,1,,1,4,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,"1522 W. Linden Avenue, South Bend, Indiana 46628",41.6793832,-86.27417085,109750
Ponader Park,Neighborhood Park,46635,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,"54054 Maple Lane Avenue, South Bend, Indiana 46635",41.70867075,-86.21386387,21000
Riverside Park,Neighborhood Park,46628,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,1,,,,,,,,,,,,1,,,"3840 Riverside Drive, South Bend, Indiana 46628",41.72734727,-86.26930036,25100
Rum Village Annex,Community Park,46614,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,"2700 Gertrude St, South Bend, Indiana 46614",41.64682859,-86.273117,2000
Northside Blvd. Riverwalk,Community Park,46617,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,"1350 Northside Blvd, South Bend, Indiana 46617",41.66133959,-86.22912509,11600
City Cemetery,Cemetery,46616,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"214 Elm Street, South Bend, Indiana 46616",41.67766499,-86.26776489,1233.33
Westhaven Park,Block Park,46628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,"1220 Sussex Drive, South Bend, Indiana 46628",41.69047094,-86.30599056,11583.34
Gwen Stiver Memorial Park,Block Park,46601,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,"230 Michigan Street, South Bend, Indiana 46601",41.67402074,-86.2503,15100
Studebaker Golf Course,Golf Course,46613,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,"718 Calvert Street, South Bend, Indiana 46613",41.65411663,-86.25964338,350000
Erskine Golf Course,Golf Course,46614,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,"4200 Miami Road, South Bend, Indiana 46614",41.63237676,-86.23474589,715600
Belleville Park,Community Park,46619,,,,7,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,2,,,,,,"1300 S. Mayflower Road, South Bend, Indiana 46619",41.66003226,-86.3219828,285083.34
Blackthorn Golf Course,Golf Course,46628,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6100 Nimtz Parkway, South Bend, Indiana 46628",41.72254377,-86.33406577,700000
Ryer Mini Park,Block Park,46628,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,"1565 Ryer St. &nbsp;, South Bend, Indiana 46628",41.70801128,-86.30769578,26250
Bowman Cemetery,Cemetery,46613,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"1700 S. Miami Street, South Bend, Indiana 46613",41.65777328,-86.23495205,1233.33
LaSalle Landing Park,Block Park,46619,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,"2800 Portage, South Bend, Indiana 46619",41.66817885,-86.32130868,2000
LaSalle Park,Community Park,46619,,1,1,,2,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,1,2,,,2,,,1,2,,,,,,"3419 W. Washington, South Bend, Indiana 46619",41.67560915,-86.29558581,166383.34
Leeper Park,Community Park,46616,,,,,,,,1,,,,1,1,,,2,,,,1,,,,,1,2,,,1,,,2,,1,,,,,15,,,,1,,"820 N. Michigan St., South Bend, Indiana 46616",41.68530212,-86.25049424,216808.38
Marshall Park,Neighborhood Park,46614,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,4,,,,,,"3725 Springbrook, South Bend, Indiana 46614",41.63666075,-86.22310961,110916.68
Muessel Grove Park,Neighborhood Park,46628,,,,2,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,"1200 Wilbur Street, South Bend, Indiana 46628",41.69094202,-86.27398316,61250
Rum Village Park,Community Park,46614,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,1,,,,4,,,1,,,,,,,"2700 Gertrude St, South Bend, Indiana 46614",41.64682859,-86.273117,62750
Brownfield Park,Block Park,46616,,,1,,0.5,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,"1022 Angela Blvd, South Bend, Indiana 46616",41.69323166,-86.26449755,17950
Elbel Golf Course,Golf Course,46628,,,,,,,,,,,1,,,,,,1,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,"26595 Auten Road, South Bend, Indiana 46628",41.74452579,-86.38303277,737200
Booth Tarkington,Neighborhood Park,46635,,,,1,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,"1722 Rerick Drive, South Bend, Indiana 46635",41.6987123,-86.20190787,128000
Boehm Park,Community Park,46617,,,,2,2,,,,,,,,,,,,,,,,5,,,,,,,,,1,,2,,,1,,,,4,,,,,,"3205 Edison Road, South Bend, Indiana 46617",41.69466906,-86.20279481,151666.68
